Eliptic Curve: y^2 + y = x^3 - x^2
Both sides modulo: 5
x = 0, y = 0  (both sides = 0)
x = 1, y = 0  (both sides = 0)
x = 0, y = 4  (LHS = 20, RHS = 0)
x = 1, y = 4  (LHS = 20, RHS = 0)


Count            Prime    Num Solutions       Difference
-----  ---------------  ---------------  ---------------
    1                2                4               -2
    2                3                4               -1
    3                5                4                1
    4                7                9               -2
    5               11               10                1
    6               13                9                4
    7               17               19               -2
    8               19               19                0
    9               23               24               -1
   10               29               29                0
   11               31               24                7
   12               37               34                3
   13               41               49               -8
   14               43               49               -6
   15               47               39                8
   16               53               59               -6
   17               59               54                5
   18               61               49               12
   19               67               74               -7
   20               71               74               -3
   21               73               69                4
   22               79               89              -10
   23               83               89               -6
   24               89               74               15
   25               97              104               -7
   26              101               99                2
   27              103              119              -16
   28              107               89               18
   29              109               99               10
   30              113              104                9
   31              127              119                8
   32              131              149              -18
   33              137              144               -7
   34              139              129               10
   35              149              159              -10
   36              151              149                2
   37              157              164               -7
   38              163              159                4
   39              167              179              -12
   40              173              179               -6
   41              179              194              -15
   42              181              174                7
   43              191              174               17
   44              193              189                4
   45              197              199               -2
   46              199              199                0
   47              211              199               12
   48              223              204               19
   49              227              209               18
   50              229              214               15
   51              233              209               24
   52              239              269              -30
   53              241              249               -8
   54              251              274              -23
   55              257              259               -2
   56              263              249               14
   57              269              259               10
   58              271              299              -28
   59              277              279               -2
   60              281              299              -18
   61              283              279                4
   62              293              269               24
   63              307              299                8
   64              311              299               12
   65              313              314               -1
   66              317              304               13
   67              331              324                7
   68              337              359              -22
   69              347              319               28
   70              349              319               30
   71              353              374              -21
   72              359              379              -20
   73              367              384              -17
   74              373              399              -26
   75              379              384               -5
   76              383              384               -1
   77              389              404              -15
   78              397              399               -2
   79              401              399                2
   80              409              439              -30
   81              419              399               20
   82              421              399               22
   83              431              449              -18
   84              433              444              -11
   85              439              399               40
   86              443              454              -11
   87              449              414               35
   88              457              469              -12
   89              461              449               12
   90              463              474              -11
   91              467              494              -27
   92              479              459               20
   93              487              464               23
   94              491              499               -8
   95              499              479               20
   96              503              529              -26
   97              509              494               15
   98              521              524               -3
   99              523              539              -16
  100              541              549               -8
  101              547              539                8
  102              557              559               -2
  103              563              559                4
  104              569              569                0
  105              571              599              -28
  106              577              544               33
  107              587              559               28
  108              593              549               44
  109              599              559               40
  110              601              599                2
  111              607              629              -22
  112              613              629              -16
  113              617              599               18
  114              619              644              -25
  115              631              624                7
  116              641              674              -33
  117              643              614               29
  118              647              654               -7
  119              653              694              -41
  120              659              649               10
  121              661              624               37
  122              673              659               14
  123              677              719              -42
  124              683              699              -16
  125              691              674               17
  126              701              699                2
  127              709              734              -25
  128              719              704               15
  129              727              724                3
  130              733              769              -36
  131              739              689               50
  132              743              739                4
  133              751              774              -23
  134              757              779              -22
  135              761              749               12
  136              769              749               20
  137              773              779               -6
  138              787              819              -32
  139              797              744               53
  140              809              809                0
  141              811              849              -38
  142              821              799               22
  143              823              784               39
  144              827              879              -52
  145              829              804               25
  146              839              844               -5
  147              853              839               14
  148              857              849                8
  149              859              874              -15
  150              863              839               24
  151              877              889              -12
  152              881              924              -43
  153              883              879                4
  154              887              909              -22
  155              907              919              -12
  156              911              899               12
  157              919              909               10
  158              929              959              -30
  159              937              929                8
  160              941              899               42
  161              947              974              -27
  162              953              919               34
  163              967              999              -32
  164              971              924               47
  165              977            1,004              -27
  166              983              944               39
  167              991              999               -8
  168              997              959               38
  169            1,009            1,019              -10
  170            1,013              974               39
  171            1,019            1,029              -10
  172            1,021              999               22
  173            1,031              999               32
  174            1,033            1,049              -16
  175            1,039            1,034                5
  176            1,049            1,104              -55
  177            1,051            1,049                2
  178            1,061            1,074              -13
  179            1,063            1,019               44
  180            1,069            1,089              -20
  181            1,087            1,079                8
  182            1,091            1,149              -58
  183            1,093            1,144              -51
  184            1,097            1,139              -42
  185            1,103            1,154              -51
  186            1,109            1,139              -30
  187            1,117            1,069               48
  188            1,123            1,099               24
  189            1,129            1,079               50
  190            1,151            1,149                2
  191            1,153            1,184              -31
  192            1,163            1,129               34
  193            1,171            1,174               -3
  194            1,181            1,199              -18
  195            1,187            1,199              -12
  196            1,193            1,214              -21
  197            1,201            1,199                2
  198            1,213            1,254              -41
  199            1,217            1,259              -42
  200            1,223            1,209               14
  201            1,229            1,169               60
  202            1,231            1,249              -18
  203            1,237            1,219               18
  204            1,249            1,209               40
  205            1,259            1,284              -25
  206            1,277            1,324              -47
  207            1,279            1,294              -15
  208            1,283            1,319              -36
  209            1,289            1,289                0
  210            1,291            1,299               -8
  211            1,297            1,241               56
  212            1,301            1,258               43
  213            1,303            1,250               53
  214            1,307            1,267               40
  215            1,319            1,321               -2
  216            1,321            1,248               73
  217            1,327            1,223              104
  218            1,361            1,289               72
  219            1,367            1,353               14
  220            1,373            1,270              103
  221            1,381            1,355               26
  222            1,399            1,231              168
  223            1,409            1,306              103
  224            1,423            1,276              147
  225            1,427            1,311              116
  226            1,429            1,355               74
  227            1,433            1,260              173
  228            1,439            1,296              143
  229            1,447            1,279              168
  230            1,451            1,249              202
  231            1,453            1,372               81
  232            1,459            1,325              134
  233            1,471            1,267              204
  234            1,481            1,249              232
  235            1,483            1,244              239
  236            1,487            1,237              250
  237            1,489            1,290              199
  238            1,493            1,326              167
  239            1,499            1,238              261
  240            1,511            1,260              251
  241            1,523            1,314              209
  242            1,531            1,259              272
  243            1,543            1,318              225
  244            1,549            1,328              221
  245            1,553            1,333              220
  246            1,559            1,349              210
  247            1,567            1,336              231
  248            1,571            1,302              269
  249            1,579            1,315              264
  250            1,583            1,282              301
  251            1,597            1,286              311
  252            1,601            1,305              296
  253            1,607            1,238              369
  254            1,609            1,291              318
  255            1,613            1,301              312
  256            1,619            1,321              298
  257            1,621            1,271              350
  258            1,627            1,243              384
  259            1,637            1,266              371
  260            1,657            1,311              346
  261            1,663            1,299              364
  262            1,667            1,309              358
  263            1,669            1,285              384
  264            1,693            1,361              332
  265            1,697            1,414              283
  266            1,699            1,335              364
  267            1,709            1,408              301
  268            1,721            1,386              335
  269            1,723            1,444              279
  270            1,733            1,384              349
  271            1,741            1,398              343
  272            1,747            1,443              304
  273            1,753            1,394              359
  274            1,759            1,478              281
  275            1,777            1,448              329
  276            1,783            1,418              365
  277            1,787            1,488              299
  278            1,789            1,440              349
  279            1,801            1,380              421
  280            1,811            1,509              302
  281            1,823            1,541              282
  282            1,831            1,508              323
  283            1,847            1,535              312
  284            1,861            1,493              368
  285            1,867            1,519              348
  286            1,871            1,572              299
  287            1,873            1,479              394
  288            1,877            1,532              345
  289            1,879            1,562              317
  290            1,889            1,509              380
  291            1,901            1,428              473
  292            1,907            1,561              346
  293            1,913            1,588              325
  294            1,931            1,549              382
  295            1,933            1,512              421
  296            1,949            1,561              388
  297            1,951            1,546              405
  298            1,973            1,441              532
  299            1,979            1,466              513
  300            1,987            1,571              416
  301            1,993            1,556              437
  302            1,997            1,597              400
  303            1,999            1,510              489
  304            2,003            1,498              505
  305            2,011            1,516              495
  306            2,017            1,512              505
  307            2,027            1,510              517
  308            2,029            1,504              525
  309            2,039            1,488              551
  310            2,053            1,476              577
  311            2,063            1,554              509
  312            2,069            1,542              527
  313            2,081            1,589              492
  314            2,083            1,524              559
  315            2,087            1,515              572
  316            2,089            1,531              558
  317            2,099            1,533              566
  318            2,111            1,612              499
  319            2,113            1,653              460
  320            2,129            1,582              547
  321            2,131            1,659              472
  322            2,137            1,550              587
  323            2,141            1,653              488
  324            2,143            1,668              475
  325            2,153            1,751              402
  326            2,161            1,678              483
  327            2,179            1,696              483
  328            2,203            1,644              559
  329            2,207            1,632              575
  330            2,213            1,715              498
  331            2,221            1,668              553
  332            2,237            1,657              580
  333            2,239            1,746              493
  334            2,243            1,705              538
  335            2,251            1,719              532
  336            2,267            1,609              658
  337            2,269            1,642              627
  338            2,273            1,657              616
  339            2,281            1,654              627
  340            2,287            1,697              590
  341            2,293            1,636              657
  342            2,297            1,818              479
  343            2,309            1,691              618
  344            2,311            1,659              652
  345            2,333            1,662              671
  346            2,339            1,732              607
  347            2,341            1,694              647
  348            2,347            1,702              645
  349            2,351            1,705              646
  350            2,357            1,706              651
  351            2,371            1,740              631
  352            2,377            1,672              705
  353            2,381            1,728              653
  354            2,383            1,710              673
  355            2,389            1,749              640
  356            2,393            1,751              642
  357            2,399            1,788              611
  358            2,411            1,695              716
  359            2,417            1,726              691
  360            2,423            1,800              623
  361            2,437            1,790              647
  362            2,441            1,778              663
  363            2,447            1,742              705
  364            2,459            1,812              647
  365            2,467            1,872              595
  366            2,473            1,830              643
  367            2,477            1,781              696
  368            2,503            1,789              714
  369            2,521            1,784              737
  370            2,531            1,812              719
  371            2,539            1,757              782
  372            2,543            1,878              665
  373            2,549            1,850              699
  374            2,551            1,841              710
  375            2,557            1,744              813
  376            2,579            1,825              754
  377            2,591            1,776              815
  378            2,593            1,789              804
  379            2,609            1,872              737
  380            2,617            1,860              757
  381            2,621            1,839              782
  382            2,633            1,798              835
  383            2,647            1,830              817
  384            2,657            1,824              833
  385            2,659            1,897              762
  386            2,663            1,856              807
  387            2,671            1,885              786
  388            2,677            1,906              771
  389            2,683            1,910              773
  390            2,687            1,884              803
  391            2,689            1,839              850
  392            2,693            1,919              774
  393            2,699            1,950              749
  394            2,707            1,950              757
  395            2,711            1,912              799
  396            2,713            1,891              822
  397            2,719            1,987              732
  398            2,729            1,858              871
  399            2,731            1,936              795
  400            2,741            1,986              755
  401            2,749            1,850              899
  402            2,753            1,912              841
  403            2,767            1,869              898
  404            2,777            1,951              826
  405            2,789            1,916              873
  406            2,791            1,884              907
  407            2,797            1,965              832
  408            2,801            1,925              876
  409            2,803            1,928              875
  410            2,819            1,976              843
  411            2,833            1,945              888
  412            2,837            2,044              793
  413            2,843            2,010              833
  414            2,851            1,938              913
  415            2,857            1,975              882
  416            2,861            2,026              835
  417            2,879            2,043              836
  418            2,887            1,980              907
  419            2,897            1,899              998
  420            2,903            1,961              942
  421            2,909            2,056              853
  422            2,917            1,936              981
  423            2,927            1,974              953
  424            2,939            2,072              867
  425            2,953            2,047              906
  426            2,957            1,977              980
  427            2,963            2,032              931
  428            2,969            1,966            1,003
  429            2,971            2,058              913
  430            2,999            2,122              877
  431            3,001            2,006              995
