Eliptic Curve: y^2 + y = x^3 - x^2
Both sides modulo: 5
x = 0, y = 0  (both sides = 0)
x = 1, y = 0  (both sides = 0)
x = 0, y = 4  (LHS = 20, RHS = 0)
x = 1, y = 4  (LHS = 20, RHS = 0)


          Prime    Num Solutions       Difference
---------------  ---------------  ---------------
              2                4               -2
              3                4               -1
              5                4                1
              7                9               -2
             11               10                1
             13                9                4
             17               19               -2
             19               19                0
             23               24               -1
             29               29                0
             31               24                7
             37               34                3
             41               49               -8
             43               49               -6
             47               39                8
             53               59               -6
             59               54                5
             61               49               12
             67               74               -7
             71               74               -3
             73               69                4
             79               89              -10
             83               89               -6
             89               74               15
             97              104               -7
            101               99                2
            103              119              -16
            107               89               18
            109               99               10
            113              104                9
            127              119                8
            131              149              -18
            137              144               -7
            139              129               10
            149              159              -10
            151              149                2
            157              164               -7
            163              159                4
            167              179              -12
            173              179               -6
            179              194              -15
            181              174                7
            191              174               17
            193              189                4
            197              199               -2
            199              199                0
            211              199               12
            223              204               19
            227              209               18
            229              214               15
            233              209               24
            239              269              -30
            241              249               -8
            251              274              -23
            257              259               -2
            263              249               14
            269              259               10
            271              299              -28
            277              279               -2
            281              299              -18
            283              279                4
            293              269               24
            307              299                8
            311              299               12
            313              314               -1
            317              304               13
            331              324                7
            337              359              -22
            347              319               28
            349              319               30
            353              374              -21
            359              379              -20
            367              384              -17
            373              399              -26
            379              384               -5
            383              384               -1
            389              404              -15
            397              399               -2
            401              399                2
            409              439              -30
            419              399               20
            421              399               22
            431              449              -18
            433              444              -11
            439              399               40
            443              454              -11
            449              414               35
            457              469              -12
            461              449               12
            463              474              -11
            467              494              -27
            479              459               20
            487              464               23
            491              499               -8
            499              479               20
            503              529              -26
            509              494               15
            521              524               -3
            523              539              -16
            541              549               -8
primeCount = 100
